0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,0
5.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,4.0,4.0,4.0,0
19.0,1.0,13.0,6.0,12.0,5.0,3.0,0.0,13.0,6.0,12.0,3.0,3.0,3.0,3.0,2.0,0.38,5.0,5.0,5.0,1
2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0
3.0,0.0,3.0,2.0,2.0,0.0,1.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0
5.0,0.0,5.0,1.0,4.0,0.0,2.0,0.0,4.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,0
7.0,0.0,7.0,5.0,6.0,0.0,2.0,0.0,7.0,5.0,6.0,2.0,2.0,5.0,1.0,1.0,0.0,5.0,5.0,4.0,0
2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,0
11.0,0.0,11.0,4.0,9.0,0.0,4.0,1.0,8.0,3.0,7.0,3.0,3.0,3.0,1.0,1.0,0.0,7.0,7.0,3.0,0
20.0,0.0,20.0,1.0,19.0,0.0,9.0,1.0,12.0,1.0,11.0,9.0,9.0,9.0,1.0,2.0,0.0,4.0,4.0,4.0,0
20.0,5.0,5.0,2.0,4.0,10.0,1.0,0.0,5.0,2.0,4.0,2.0,2.0,2.0,1.0,0.0,2.0,4.0,4.0,3.0,0
2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,4.0,4.0,4.0,0
